datahora,usuario,sucesso,qtdereg,tempo
02/01/2012 23:32:14,"Coelho",1,100,22.000
/  /     :  :,"",0,0,0.000
/  /     :  :,"",0,0,0.000
/  /     :  :,"",0,0,0.000
/  /     :  :,"",0,0,0.000
12/26/2012 14:15:34,"",0,0,0.000
12/26/2012 14:18:07,"",1,0,0.000
12/26/2012 14:20:22,"",1,165,0.047
12/26/2012 14:23:18,"coelho",1,165,0.016
12/26/2012 14:26:48,"coelho",1,165,0.125
12/26/2012 14:28:57,"coelho",1,165,0.015
12/26/2012 14:31:13,"coelho",1,165,0.016
12/26/2012 15:03:03,"coelho",1,165,0.015
12/26/2012 15:11:00,"coelho",1,165,0.016
12/27/2012 08:07:53,"coelho",1,165,0.031
12/27/2012 08:11:40,"coelho",1,165,0.015
12/27/2012 08:12:41,"coelho",1,165,0.016
12/27/2012 08:13:26,"coelho",1,165,0.016
12/27/2012 08:19:32,"coelho",1,165,0.031
12/27/2012 08:24:51,"coelho",1,165,0.015
12/27/2012 08:25:15,"coelho",1,165,0.016
12/27/2012 08:28:09,"coelho",1,165,0.031
12/27/2012 08:30:03,"coelho",1,165,0.031
/  /     :  :,"",0,0,0.000
12/27/2012 09:00:52,"coelho",0,0,0.000
12/27/2012 09:04:07,"coelho",1,162,0.031
